No,Zulu,Julday,Temp
39,2016-01-21 17:01:00+00:00,2457409.20902778,208.35
40,2016-01-21 17:02:00+00:00,2457409.20972222,212.18
41,2016-01-21 17:03:00+00:00,2457409.21041667,209.05
42,2016-01-21 17:04:00+00:00,2457409.21111111,209.7
43,2016-01-21 17:05:00+00:00,2457409.21180556,211.1
44,2016-01-21 17:06:00+00:00,2457409.2125,210.08
45,2016-01-21 17:07:00+00:00,2457409.21319444,213.1
46,2016-01-21 17:08:00+00:00,2457409.21388889,209.75
47,2016-01-21 17:09:00+00:00,2457409.21458333,212.95
48,2016-01-21 17:10:00+00:00,2457409.21527778,214.85
49,2016-01-21 17:11:00+00:00,2457409.21597222,208.98
50,2016-01-21 17:12:00+00:00,2457409.21666667,212.28
51,2016-01-21 17:13:00+00:00,2457409.21736111,210.73
52,2016-01-21 17:14:00+00:00,2457409.21805556,211.33
53,2016-01-21 17:15:00+00:00,2457409.21875,210.4
54,2016-01-21 17:16:00+00:00,2457409.21944444,207.38
55,2016-01-21 17:17:00+00:00,2457409.22013889,209.95
56,2016-01-21 17:18:00+00:00,2457409.22083333,211.28
57,2016-01-21 17:19:00+00:00,2457409.22152778,211.62
58,2016-01-21 17:20:00+00:00,2457409.22222222,207.62
59,2016-01-21 17:21:00+00:00,2457409.22291667,211.38
60,2016-01-21 17:22:00+00:00,2457409.22361111,208.45
61,2016-01-21 17:23:00+00:00,2457409.22430556,215.97
62,2016-01-21 17:24:00+00:00,2457409.225,211.2
63,2016-01-21 17:25:00+00:00,2457409.22569444,213.05
64,2016-01-21 17:26:00+00:00,2457409.22638889,210.88
65,2016-01-21 17:27:00+00:00,2457409.22708333,216.35
66,2016-01-21 17:28:00+00:00,2457409.22777778,216.15
67,2016-01-21 17:29:00+00:00,2457409.22847222,213.45
68,2016-01-21 17:30:00+00:00,2457409.22916667,216.88
69,2016-01-21 17:31:00+00:00,2457409.22986111,214.88
70,2016-01-21 17:32:00+00:00,2457409.23055556,210.95
71,2016-01-21 17:33:00+00:00,2457409.23125,215.7
72,2016-01-21 17:34:00+00:00,2457409.23194445,214.6
73,2016-01-21 17:35:00+00:00,2457409.23263889,212.25
74,2016-01-21 17:36:00+00:00,2457409.23333333,214.12
75,2016-01-21 17:37:00+00:00,2457409.23402778,215.6
76,2016-01-21 17:38:00+00:00,2457409.23472222,218.48
77,2016-01-21 17:39:00+00:00,2457409.23541667,219.22
78,2016-01-21 17:40:00+00:00,2457409.23611111,214.4
79,2016-01-21 17:41:00+00:00,2457409.23680556,214.77
80,2016-01-21 17:42:00+00:00,2457409.2375,215.38
81,2016-01-21 17:43:00+00:00,2457409.23819445,216.5
82,2016-01-21 17:44:00+00:00,2457409.23888889,215.2
83,2016-01-21 17:45:00+00:00,2457409.23958333,217.0
84,2016-01-21 17:46:00+00:00,2457409.24027778,219.5
85,2016-01-21 17:47:00+00:00,2457409.24097222,217.6
86,2016-01-21 17:48:00+00:00,2457409.24166667,218.9
87,2016-01-21 17:49:00+00:00,2457409.24236111,214.6
88,2016-01-21 17:50:00+00:00,2457409.24305556,220.7
89,2016-01-21 17:51:00+00:00,2457409.24375,215.58
90,2016-01-21 17:52:00+00:00,2457409.24444444,217.0
91,2016-01-21 17:53:00+00:00,2457409.24513889,215.57
92,2016-01-21 17:54:00+00:00,2457409.24583333,212.2
93,2016-01-21 17:55:00+00:00,2457409.24652778,216.9
94,2016-01-21 17:56:00+00:00,2457409.24722222,212.35
95,2016-01-21 17:57:00+00:00,2457409.24791667,214.93
96,2016-01-21 17:58:00+00:00,2457409.24861111,216.18
97,2016-01-21 17:59:00+00:00,2457409.24930556,217.87
98,2016-01-21 18:00:00+00:00,2457409.25,217.75
99,2016-01-21 18:01:00+00:00,2457409.25069444,216.68
100,2016-01-21 18:02:00+00:00,2457409.25138889,214.75
101,2016-01-21 18:03:00+00:00,2457409.25208333,215.42
102,2016-01-21 18:04:00+00:00,2457409.25277778,218.45
103,2016-01-21 18:05:00+00:00,2457409.25347222,216.32
104,2016-01-21 18:06:00+00:00,2457409.25416667,216.75
105,2016-01-21 18:07:00+00:00,2457409.25486111,216.7
106,2016-01-21 18:08:00+00:00,2457409.25555556,217.38
107,2016-01-21 18:09:00+00:00,2457409.25625,215.75
108,2016-01-21 18:10:00+00:00,2457409.25694444,216.43
109,2016-01-21 18:11:00+00:00,2457409.25763889,225.67
110,2016-01-21 18:12:00+00:00,2457409.25833333,222.4
111,2016-01-21 18:13:00+00:00,2457409.25902778,217.4
112,2016-01-21 18:14:00+00:00,2457409.25972222,218.12
113,2016-01-21 18:15:00+00:00,2457409.26041667,213.77
114,2016-01-21 18:16:00+00:00,2457409.26111111,214.17
115,2016-01-21 18:17:00+00:00,2457409.26180556,218.93
116,2016-01-21 18:18:00+00:00,2457409.2625,218.6
117,2016-01-21 18:19:00+00:00,2457409.26319445,218.98
